ds,yhat
2024-11-18 15:25:00,76.430336
2024-11-18 15:30:00,76.423454
2024-11-18 15:35:00,72.82271
2024-11-18 15:40:00,72.41
2024-11-18 15:45:00,70.47632
2024-11-18 15:50:00,68.98593
2024-11-18 15:55:00,66.047935
2024-11-18 16:00:00,66.0893
2024-11-18 16:05:00,64.792145
2024-11-18 16:10:00,63.614082
2024-11-18 16:15:00,63.50198
2024-11-18 16:20:00,60.660927
2024-11-18 16:25:00,67.50608
2024-11-18 16:30:00,59.49168
2024-11-18 16:35:00,55.272808
2024-11-18 16:40:00,54.853046
2024-11-18 16:45:00,53.92137
2024-11-18 16:50:00,50.967606
2024-11-18 16:55:00,47.646336
2024-11-18 17:00:00,47.358772
2024-11-18 17:05:00,45.224808
2024-11-18 17:10:00,42.412895
2024-11-18 17:15:00,42.23287
2024-11-18 17:20:00,40.57897
2024-11-18 17:25:00,37.57133
2024-11-18 17:30:00,34.959164
2024-11-18 17:35:00,33.173046
2024-11-18 17:40:00,32.25268
2024-11-18 17:45:00,30.89497
2024-11-18 17:50:00,29.94242
2024-11-18 17:55:00,28.745327
2024-11-18 18:00:00,28.89367
2024-11-18 18:05:00,27.261131
2024-11-18 18:10:00,25.41935
2024-11-18 18:15:00,24.20497
2024-11-18 18:20:00,22.93637
2024-11-18 18:25:00,21.675508
2024-11-18 18:30:00,21.695332
2024-11-18 18:35:00,20.905268
2024-11-18 18:40:00,20.651714
2024-11-18 18:45:00,19.878613
2024-11-18 18:50:00,18.935022
2024-11-18 18:55:00,18.394125
2024-11-18 19:00:00,17.98795
2024-11-18 19:05:00,17.756382
2024-11-18 19:10:00,16.958548
2024-11-18 19:15:00,16.299986
2024-11-18 19:20:00,16.180887
2024-11-18 19:25:00,15.195494
2024-11-18 19:30:00,15.447682
2024-11-18 19:35:00,15.144062
2024-11-18 19:40:00,14.852116
2024-11-18 19:45:00,14.610468
2024-11-18 19:50:00,13.913041
2024-11-18 19:55:00,14.241306
2024-11-18 20:00:00,38.158474
2024-11-18 20:05:00,34.0131
2024-11-18 20:10:00,20.685507
2024-11-18 20:15:00,15.603213
2024-11-18 20:20:00,14.328984
2024-11-18 20:25:00,13.522323
2024-11-18 20:30:00,13.16876
2024-11-18 20:35:00,11.865839
2024-11-18 20:40:00,11.010614
2024-11-18 20:45:00,10.008056
2024-11-18 20:50:00,9.750352
2024-11-18 20:55:00,8.190601
2024-11-18 21:00:00,7.5681844
2024-11-18 21:05:00,6.7851057
2024-11-18 21:10:00,6.222793
2024-11-18 21:15:00,5.626866
2024-11-18 21:20:00,5.488565
2024-11-18 21:25:00,4.9357414
2024-11-18 21:30:00,4.477126
2024-11-18 21:35:00,4.295283
2024-11-18 21:40:00,4.391133
2024-11-18 21:45:00,4.178655
2024-11-18 21:50:00,3.94948
2024-11-18 21:55:00,4.1052346
2024-11-18 22:00:00,3.965577
2024-11-18 22:05:00,4.0848665
2024-11-18 22:10:00,4.5209203
2024-11-18 22:15:00,4.276836
2024-11-18 22:20:00,3.8438938
2024-11-18 22:25:00,3.7546983
2024-11-18 22:30:00,3.6265004
2024-11-18 22:35:00,3.5355947
2024-11-18 22:40:00,3.3817766
2024-11-18 22:45:00,3.0978827
2024-11-18 22:50:00,3.2312474
2024-11-18 22:55:00,2.9868553
2024-11-18 23:00:00,2.889656
2024-11-18 23:05:00,2.830777
2024-11-18 23:10:00,2.8273187
2024-11-18 23:15:00,2.9238052
2024-11-18 23:20:00,2.661451
2024-11-18 23:25:00,2.6908581
2024-11-18 23:30:00,2.6068442
2024-11-18 23:35:00,2.3248868
2024-11-18 23:40:00,2.4911294
2024-11-18 23:45:00,2.4408576
2024-11-18 23:50:00,2.455817
2024-11-18 23:55:00,2.3525887
2024-11-19 00:00:00,2.2308438
2024-11-19 00:05:00,2.181648
2024-11-19 00:10:00,2.3973966
2024-11-19 00:15:00,2.185652
2024-11-19 00:20:00,2.2809687
2024-11-19 00:25:00,2.3143969
2024-11-19 00:30:00,2.228403
2024-11-19 00:35:00,2.2177558
2024-11-19 00:40:00,2.1490192
2024-11-19 00:45:00,2.141583
2024-11-19 00:50:00,2.0801044
2024-11-19 00:55:00,2.1043813
2024-11-19 01:00:00,2.115485
2024-11-19 01:05:00,2.0697315
2024-11-19 01:10:00,2.0645077
2024-11-19 01:15:00,1.9845663
2024-11-19 01:20:00,2.009068
2024-11-19 01:25:00,1.985698
2024-11-19 01:30:00,1.8484588
2024-11-19 01:35:00,1.8482091
2024-11-19 01:40:00,1.8758711
2024-11-19 01:45:00,2.010978
2024-11-19 01:50:00,1.9222571
2024-11-19 01:55:00,1.8773497
2024-11-19 02:00:00,1.8860315
2024-11-19 02:05:00,1.8032585
2024-11-19 02:10:00,1.7915468
